EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
5133	1349747207	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 163	ECC Error	2108cac10	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:46:47	41
5134	1349747338	compute	c10-4c2s7n2	0	4	 Chipkill ECC syndrome = 85d	ECC Error	1d0162280	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:48:58	41
5135	1349747338	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 5d9f	ECC Error	2108c9180	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:48:58	41
5136	1349747382	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 401	ECC Error	dc4f42150	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:49:42	41
5137	1349747431	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:50:31	41
5138	1349747432	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = c76	ECC Error	1aff67200	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:50:32	41
5139	1349747448	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:50:48	41
5140	1349747456	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	41a5dc640	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:50:56	41
5141	1349747462	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:02	41
5142	1349747463	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:03	41
5143	1349747465	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:05	41
5144	1349747470	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	2108cb870	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:10	41
5145	1349747473	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:13	41
5146	1349747489	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 88b	ECC Error	1aff67f80	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:29	41
5147	1349747501	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	41a5dc640	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:41	41
5148	1349747505	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	2108c9880	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:45	41
5149	1349747508	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	2108ca9c0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:48	41
5150	1349747509	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	2108ca980	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:49	41
5151	1349747510	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	2108c9840	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:50	41
5152	1349747511	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 59e	ECC Error	2108c9890	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:51	41
5153	1349747513	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 2c6	ECC Error	1aff67fb0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:53	41
5154	1349747514	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:54	41
5155	1349747514	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 1067	ECC Error	2108c94f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:51:54	41
5156	1349747515	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 5d9f	ECC Error	2108c8cc0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:55	41
5157	1349747515	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 163	ECC Error	2108cc9d0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:55	41
5158	1349747516	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 758	ECC Error	1aff67fd0	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:56	41
5159	1349747516	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	2108c8c80	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:56	41
5160	1349747516	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 163	ECC Error	2108c9910	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:56	41
5161	1349747516	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 59e	ECC Error	2108ca880	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:51:56	41
5162	1349747524	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:04	41
5163	1349747526	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:06	41
5164	1349747529	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:09	41
5165	1349747538	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:18	41
5166	1349747551	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:31	41
5167	1349747559	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	4181cd8f0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:52:39	41
5168	1349747586	service	c1-7c0s6n2	0	4	 Chipkill ECC syndrome = 810	ECC Error	41a5dc640	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:53:06	41
5169	1349747607	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc77607d0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 20:53:27	41
5170	1349747639	compute	c11-10c0s3n1	0	4	-1	NB Array Error	20b9927d8	0	0	0	0	0	1	0	1	0	1	0	0	2012-10-08 20:53:59	41
5171	1349747652	compute	c3-3c1s6n3	0	4	 Chipkill ECC syndrome = 8ce	ECC Error	5f99c7b0	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:54:12	41
5172	1349747655	compute	c11-6c1s0n1	24	4	-1	NB Array Error	fd5cc0fd8	1	28	0	0	1	0	0	1	0	1	0	0	2012-10-08 20:54:15	41
5173	1349747682	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 401	ECC Error	dc7763f50	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:54:42	41
5174	1349747720	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:55:20	41
5175	1349747788	service	c1-2c1s1n1	24	4	-1	NB Array Error	6b0fb1b64	1	28	0	0	1	1	0	1	0	1	0	0	2012-10-08 20:56:28	41
5176	1349747806	compute	c18-8c0s3n3	8	4	 Chipkill ECC syndrome = c602	ECC Error	4a59a02a0	0	8	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:56:46	41
5177	1349747851	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 4010	ECC Error	dc7762f90	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:57:31	41
5178	1349747964	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 20:59:24	41
5179	1349748226	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 21:03:46	41
5180	1349748387	compute	c11-11c1s2n1	24	4	-1	Table Walk Data Error	ac80	1	28	0	0	0	1	0	1	0	1	0	0	2012-10-08 21:06:27	41
5181	1349748419	compute	c0-11c2s3n1	8	4	-1	NB Array Error	11980	0	8	0	1	0	1	0	1	0	1	0	1	2012-10-08 21:06:59	41
5182	1349748451	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc53705d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 21:07:31	41
5183	1349748518	compute	c0-11c2s3n1	8	4	-1	NB Array Error	10189f19a0	0	8	10	0	0	1	0	1	0	1	0	0	2012-10-08 21:08:38	41
